cid,spend
1,4438
0,4387
3,2291
2,3447
5,1996
7,2226
4,4677
6,4548
8,1508
11,4021
9,1460
10,3799
12,1514
13,4132
15,3164
14,2516
18,1643
19,1629
17,4922
16,1621
23,2825
21,1850
20,3624
22,3002
25,4783
26,3605
27,2812
24,1890
30,1198
29,4213
28,4832
31,4380
32,4720
35,1377
34,1541
33,4001
38,4752
39,1724
36,1020
37,1993
40,2686
41,4896
43,1758
42,3538
47,3255
45,4857
46,2029
44,3182
51,4683
50,1066
48,3320
49,3078
55,2688
53,3085
52,2242
54,2201
57,4727
59,3372
58,4305
56,3737
63,2455
61,2431
62,4454
60,3201
64,1643
66,1065
67,2453
65,1240
70,2031
68,3947
69,2912
71,4506
73,3854
72,2323
75,3294
74,1615
78,4344
76,4718
79,4672
77,3704
81,1144
80,4838
83,1329
82,2658
87,2607
86,3373
85,1867
84,4409
91,1822
90,3316
89,1553
88,3892
94,4021
92,1948
95,4324
93,4097
99,2749
98,4430
97,4271
96,2801
102,3442
100,2097
103,4034
101,3105
107,2414
105,3554
104,4658
106,1037
108,4158
110,4000
109,2949
111,2581
115,2027
113,4103
112,2221
114,3210
118,1882
117,2991
119,2614
116,2520
123,4931
122,3558
121,4447
120,1844
127,3260
124,1040
125,2570
126,4649
128,3863
129,2614
131,3326
130,2456
132,2426
133,4282
134,4890
135,3607
138,2873
136,1560
137,4255
139,1713
143,3859
140,4155
142,1830
141,2878
146,1519
145,3810
147,2155
144,4620
149,1423
148,2754
151,3748
150,3430
154,4155
152,4436
155,1268
153,3557
158,3811
156,1214
157,2939
159,1595
162,1518
161,3420
163,4070
160,2543
164,3204
167,2814
165,3403
166,4327
168,3439
170,1903
169,3162
171,3537
173,2930
174,4275
172,2568
175,3502
179,3101
176,3595
177,4833
178,4688
181,3303
183,3813
182,3925
180,4150
185,2889
187,1340
186,2414
184,4785
190,4475
189,3081
191,3014
188,3762
194,4855
192,1164
195,4417
193,3194
196,2221
197,1743
199,2635
198,1193
201,1318
200,1040
202,2497
203,4841
207,1599
206,1681
205,4159
204,1019
208,1335
209,2566
210,3850
211,3926
212,1317
213,2633
214,3462
215,4983
219,2241
218,1982
216,3217
217,4223
223,2319
221,2857
222,1337
220,4906
225,3243
227,3925
224,1906
226,3445
231,1737
229,4591
228,4353
230,4602
232,3929
234,3795
233,4082
235,4203
236,4050
239,3298
237,2333
238,2705
242,4845
241,2803
243,4533
240,2499
244,4669
245,1153
247,4209
246,1186
251,3026
249,2546
248,1234
250,3466
254,1929
253,3623
255,4917
252,3833
259,2344
257,4756
258,1766
256,1158
263,4885
261,4349
262,1147
260,2877
266,2301
267,2826
264,4905
265,1434
271,3103
270,2396
269,2576
268,3147
275,3105
273,2611
272,4626
274,2772
279,3327
276,3901
277,3124
278,4994
282,4038
283,2125
280,1179
281,3612
287,2485
285,4603
284,2491
286,4099
291,3635
290,4699
289,1095
288,1720
295,2450
294,2461
293,4778
292,3664
297,2655
298,4849
296,1102
299,4571
301,2262
300,2211
302,2160
303,4573
307,3965
306,4593
305,2110
304,1206
310,4404
309,1187
311,3436
308,2986
312,1128
315,2420
313,4304
314,2604
319,1750
317,2271
316,2232
318,3057
323,2400
320,3119
321,4372
322,4614
327,1800
326,4281
325,2050
324,1837
331,1277
328,2367
330,4241
329,3267
335,2628
332,4177
333,4968
334,3282
338,3598
337,3647
336,2723
339,3861
340,2872
342,1333
343,1674
341,1707
347,1765
344,3928
346,1582
345,1449
350,3351
348,3756
351,1458
349,1769
355,2559
352,4701
354,3718
353,4118
359,3893
358,2033
357,2330
356,3702
363,2595
360,1795
362,1297
361,3107
366,1354
367,4014
364,3497
365,2043
371,1210
370,1822
368,4525
369,4075
374,4982
375,3973
373,3209
372,4869
379,2106
377,3068
376,2801
378,2567
383,4523
381,2745
380,3853
382,1185
387,3994
386,3840
385,3760
384,4135
390,4175
389,1455
388,2775
391,3351
393,4026
392,1691
395,1774
394,4888
399,4913
396,4478
398,4191
397,1778
402,2981
403,4226
400,1873
401,4884
404,4326
405,3314
407,4766
406,4523
409,4544
408,4115
411,1949
410,4835
414,1632
413,1412
415,4584
412,4895
419,3111
417,3416
416,4259
418,2412
422,4636
423,3098
420,4411
421,1232
425,3377
427,1749
424,3358
426,2099
428,3379
430,2831
431,2700
429,1128
433,2675
434,4155
432,2640
435,3772
437,1247
439,1035
438,1943
436,4640
440,1167
443,1767
442,2878
441,4182
445,1297
447,3765
446,1714
444,2435
448,4123
449,2552
450,2004
451,3143
455,1544
452,2396
453,1629
454,4166
459,3944
458,4053
456,4079
457,3639
461,2872
463,3908
460,4858
462,4453
467,3203
466,3123
465,1802
464,1388
471,1231
468,4212
469,1067
470,3841
475,3388
472,4907
473,3772
474,1948
477,1440
479,4200
478,1006
476,2480
482,3565
481,3794
480,2178
483,1945
486,3674
484,2583
487,4910
485,1786
489,4336
488,1445
491,1590
490,4375
492,1632
493,3811
495,4723
494,2765
497,1333
498,2121
499,3654
496,3355
500,2258
501,3678
502,3503
503,1836
505,2585
504,4502
507,1032
506,3342
510,4570
509,2316
511,2778
508,3327
514,4832
513,4860
512,1031
515,4173
518,4493
519,2505
516,4050
517,1291
523,2309
522,1250
520,4674
521,1274
527,3504
525,1092
526,4744
524,2998
531,1806
528,2869
529,3734
530,1547
533,2264
532,3619
534,4443
535,3593
539,1814
538,2494
537,4377
536,4383
543,1311
542,2685
540,3777
541,3037
544,2451
545,1502
547,4316
546,4170
550,3864
549,1758
548,2503
551,3758
552,1954
553,4090
555,3801
554,2570
558,3419
556,3515
557,3810
559,2452
563,1512
560,1135
562,3796
561,3542
564,2543
567,3616
566,1450
565,3019
570,3486
571,2319
568,3493
569,2490
572,1957
575,2107
573,3219
574,2748
579,2318
578,1626
577,4466
576,4808
582,3262
580,2901
581,2788
583,4974
587,3292
584,4791
586,1889
585,2133
590,2746
589,2786
591,2046
588,2785
595,4206
593,4229
592,2947
594,4485
596,3976
598,1126
597,2442
599,4890
603,4296
601,1671
602,4102
600,1279
607,4296
605,4760
604,4962
606,1390
609,3069
608,1865
610,1020
611,3142
613,3302
615,3902
612,4621
614,1026
616,2809
617,1511
619,2771
618,3813
623,3403
621,1467
622,1731
620,2048
624,3546
627,4663
626,1690
625,3244
628,1339
629,3754
631,4304
630,4488
634,1821
635,3719
632,3047
633,1498
636,3872
637,1216
639,2454
638,1315
643,1105
641,3069
640,4359
642,3624
645,3964
647,2284
644,1961
646,1410
650,1064
649,1203
651,4225
648,3588
655,3355
653,2910
652,3954
654,2096
657,4847
658,3606
659,4573
656,3931
663,1610
660,4505
661,2278
662,4680
667,2715
664,3435
666,1582
665,1264
669,4679
670,1896
668,2269
671,1551
673,1801
674,4777
675,2664
672,2086
677,4815
678,2932
679,3123
676,4731
683,4902
682,3934
680,3102
681,4846
686,4717
685,3062
684,4578
687,2459
690,1159
688,4526
689,4318
691,1033
693,2843
694,2947
695,1574
692,4628
698,3848
697,1628
699,1721
696,2381
703,1378
702,3780
701,1586
700,4966
705,2255
707,1604
704,2236
706,2773
708,1234
710,4195
709,3391
711,4729
714,1283
712,2524
713,4899
715,3436
716,4211
717,2903
718,4087
719,3257
723,4989
720,3089
721,2619
722,3406
726,2968
724,3642
725,1281
727,1035
730,3468
731,3938
729,3573
728,2659
735,4089
732,3859
733,4636
734,1266
736,2513
737,1014
738,3697
739,2037
743,3163
740,4994
741,4760
742,3622
744,2351
747,1240
745,3197
746,3746
749,2143
748,2092
750,2000
751,1524
754,3269
755,1716
753,1423
752,4502
757,1430
759,2344
758,4457
756,3733
760,4596
763,3277
762,4510
761,4553
764,1007
765,2981
767,2771
766,2788
770,3703
769,4648
768,2793
771,2602
772,3274
775,4693
773,3289
774,1905
779,3532
778,1265
777,4003
776,2108
780,2439
782,4487
783,4563
781,2232
785,3942
784,2212
786,3503
787,3748
791,1141
788,2327
790,4472
789,3631
793,2815
795,3434
792,4684
794,3829
796,2936
799,2185
797,4325
798,4532
802,1097
800,4984
801,4212
803,4563
806,3809
807,4529
805,1662
804,3466
808,4570
810,1072
811,3702
809,1340
813,2723
812,4273
815,3691
814,2615
818,3559
817,2738
819,1380
816,1079
821,4174
822,2521
823,2498
820,1712
827,2151
825,2265
824,2551
826,4823
831,1604
828,2250
829,4031
830,1917
835,2300
834,3733
833,2780
832,4996
836,4214
838,4374
839,2601
837,1824
842,3228
841,2160
840,3458
843,4274
847,3196
845,4052
846,2541
844,2643
850,3257
848,1431
849,3868
851,2114
854,3163
852,4524
853,4801
855,3915
856,1467
857,4719
859,2496
858,4687
863,1816
860,2776
862,1060
861,2179
865,2162
864,1392
867,4251
866,3874
868,4884
871,1857
869,4061
870,3933
873,1646
874,4456
875,4117
872,4051
876,4046
879,3526
878,1864
877,3641
883,4042
880,1120
882,4683
881,2620
887,3495
884,2675
886,3050
885,4070
890,1091
889,4158
888,4302
891,2535
894,4371
895,4076
893,4287
892,1575
897,1231
896,2156
899,1541
898,2311
900,1241
901,1453
903,1055
902,2056
904,1688
906,1430
907,3078
905,4674
910,1819
911,1125
909,2573
908,3892
914,3999
913,3834
915,1275
912,4229
919,1922
917,1327
918,2653
916,1397
920,3481
921,1314
923,2556
922,4290
926,2475
924,2030
925,3047
927,2026
928,2763
929,3882
930,4570
931,3748
933,1834
935,4498
932,1624
934,1622
937,3765
938,2544
939,4338
936,4924
942,4155
940,3161
943,4385
941,4977
945,2122
946,1478
944,1637
947,4813
948,2656
950,4934
951,1669
949,3942
954,2887
953,2718
952,3813
955,1385
958,3251
957,3957
956,2106
959,4256
960,4209
961,3377
962,4052
963,4492
966,3046
967,2089
964,4113
965,4603
968,3739
969,2186
971,1850
970,2843
973,4828
972,2300
975,1999
974,1619
978,4605
976,1165
979,3599
977,3730
981,1408
983,1463
982,4618
980,3398
984,3728
985,3636
987,3492
986,4319
990,4444
988,4741
989,4737
991,2211
994,3378
995,2602
993,3175
992,4215
996,3300
997,3453
998,2234
999,4085
1000,1332
1001,1262
1003,3407
1002,2760
1005,3966
1004,3481
1006,3376
1007,3498
1010,4509
1009,1980
1011,1154
1008,2903
1015,3845
1014,4016
1013,4335
1012,4394
1016,2139
1019,4306
1018,4693
1017,2716
1023,2456
1021,2234
1020,3203
1022,1469
1026,2127
1024,1329
1025,3913
1027,3160
1028,2338
1030,1530
1031,3354
1029,2973
1035,1654
1032,4811
1033,2965
1034,2415
1037,2532
1039,2228
1038,4282
1036,1927
1043,1929
1042,1468
1040,2955
1041,4753
1044,2211
1045,3071
1047,4452
1046,2022
1049,2177
1048,2934
1051,4542
1050,3902
1052,2075
1053,2764
1054,2316
1055,1174
1057,4012
1056,3329
1058,4671
1059,2739
1061,2613
